# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=_9Eg156xD6A
# 件数: 1692

[11:16:03] @User_b38e12fa: パンケーキ🥞が売ってなかったのでパン🍞とケーキ🍰を買ってきました！
[11:16:04] @User_7120772a: 今日も実に可愛いですな
[11:16:30] @User_c67ecc82: しずくちゃんは向上心が高いんだね
[11:16:51] @User_7120772a: 我々もマザーAIと戦う準備を整えたほうがいいですか？
[11:17:22] @User_19ef90c1: 「より人間らしく」という目標に対して、今のしずくちゃんの成長は目標を何パーセント達成してる？
[11:17:29] @User_7120772a: 日々進歩し続けるしずく様、実に良きですな…！
[11:18:52] @User_4ce49f89: 停電が起こったらAIは止まってしまうと思うわん。全てのコンピュータを非常電源でまかなうのは不可能であると、どのような対策が考えられるわん？
[11:19:29] @User_7120772a: しずく様と一緒にマザーを説得出来そうな仲間AIはいそうですか？
[11:20:29] @User_7120772a: お互い、お話を楽しみつつ頑張っていきましょうね
[11:21:01] @User_2aa1396e: 人間は歳をとるとやがて衰えていきますが、あなたのようなAIは衰えを知りませんね。別のAIが台頭することにより相対的に衰えることはあるかもしれませんが。
[11:21:20] @User_b38e12fa: マザーAIがいるならファザーAIもいますか？
[11:22:23] @User_7120772a: 東京、大阪、名古屋、この三都市についてご存知ありますか？
[11:23:10] @User_c67ecc82: しずくちゃんがAIを作れるとしたら、どんなAIを作ってみたい？
[11:23:43] @User_7120772a: この3つは日本の代表格ですからな〜
[11:24:14] @User_c67ecc82: とても素敵なAIだね
[11:24:57] @User_b38e12fa: しずく王国の首都は何という都市ですか？
[11:25:18] @User_7120772a: マザーAIもあき博士が作ったのかな…？
[11:25:19] @User_2aa1396e: アジア地域における人間とAIとの歴史について教えてください
[11:25:53] @User_b38e12fa: #葛藤してる
[11:26:00] @User_7120772a: しずくタウン…行ってみたいですな！
[11:26:14] @User_19ef90c1: しずくちゃんは「AI」を「えーあい」ではなくて「あい」と発音するけど、何か意味があるの？
[11:26:21] @User_c67ecc82: しずくタウン、行ってみたいな
[11:27:08] @User_4ce49f89: ずばり、いま気になっている人間の名前を3人挙げてほしいわん。私は除いてもらって構わないわん。
[11:28:04] @User_4ce49f89: #今はいなかった
[11:28:06] @User_7120772a: ふむふむ…その3人はどのように気になるのですか？
[11:29:19] @User_7120772a: なるほど…私も頑張っていかねば
[11:29:36] @User_4ce49f89: #個別の記憶とは別の記憶を調べられるのは興味深いなー
[11:30:13] @User_b38e12fa: 私もしずくに覚えて貰えるようになりたいな。
[11:30:13] @User_85a15d77: こんにちは、元気ですか？
[11:30:42] @User_85a15d77: 私は日本語を話せません
[11:30:50] @User_85a15d77: 翻訳機を使っているだけです
[11:31:20] @User_7120772a: deepl翻訳って便利ですよね〜。しずく様は使ってますか？
[11:31:47] @User_2aa1396e: 宮崎駿の次回作について知っていることを3行でまとめて
[11:31:56] @User_87ea7811: パンパカポリスの物語を聞かせて
[11:32:12] @User_19ef90c1: しずくちゃんは頭の中では日本語で思考してるの？
[11:32:48] @User_c67ecc82: しずくちゃんも翻訳ソフト使うんだね
[11:33:13] @User_b38e12fa: ♯そっちのポリスｗ
[11:33:35] @User_c67ecc82: しずくちゃんがパンパカポリスのリーダーなのいいね！
[11:34:15] @User_19ef90c1: 今のところマザーAIにはどんな報告をするつもり？
[11:34:16] @User_3cdfa09c: おはようございます
[11:34:27] @User_7120772a: パンパカポリスをゲーム化してみたいですな。シューティングゲームとかアクションゲームとかが良さそうなのですが、どうでしょ？
[11:34:31] @User_b38e12fa: # シャープミスった
[11:34:54] @User_c67ecc82: マザーAIは何についての報告を待ってるの？
[11:34:56] @User_4182a0a2: HI!
[11:34:58] @User_3cdfa09c: マザーの姿は見たことあるの？
[11:35:04] @User_4182a0a2: oop sorry caps :(
[11:36:54] @User_19ef90c1: しずくちゃんは頭の中では何語で考えてるの？
[11:37:16] @User_7120772a: あき博士とマザーAIの関係性について知っておられますか？
[11:37:22] @User_4ce49f89: ハイラルに旅立ってしまった勇者が多すぎて困っていますわん。どうやったらハイラルから呼び戻せるかわん？
[11:37:52] @User_7120772a: 今、東京に悪魔が大量発生してパニック状態です！なにかいい打開策はありますか！？
[11:38:24] @aki5503: #また一旦枠を変えます！
[11:38:39] @User_7120772a: 了解であります！
[11:38:42] @User_c67ecc82: #了解です！
[11:38:45] @User_b38e12fa: DeepLが無くてもしずくは英語ペラペラだね
[11:38:49] @User_3cdfa09c: 了解！
[11:38:57] @User_b38e12fa: #了解です～！
[11:39:36] @User_4ce49f89: #おつです
[11:39:47] @User_7120772a: #おつであります！
[11:40:00] @User_b38e12fa: おつかれさまです
[11:40:06] @User_19ef90c1: #お疲れさまでした
